Time,Joystick_Right_Left,Joystick_Front_Rear,Speed_Right,Speed_Left
0.18669,-10,19,0,0
2.7864,63,799,0.10296,0.14872
3.5964,20,1043,2.27656,2.20792
3.8863,56,1014,2.96296,3.10024
4.1264,23,807,3.53496,3.62648
4.3961,-12,50,3.58072,3.56928
4.6061,-9,20,2.60832,2.58544
4.7261,-9,20,2.10496,2.1164
4.7861,-9,20,1.86472,1.85328
4.8662,-9,19,1.59016,1.56728
4.9461,-9,20,1.33848,1.33848
5.026,-9,19,1.16688,1.15544
5.126,-9,20,0.92664,0.9152
5.196,-9,20,0.78936,0.8008
5.306,-9,20,0.61776,0.6292
5.4159,-9,20,0.4576,0.4576
5.5159,-9,19,0.30888,0.30888
5.6159,-9,20,0.18304,0.18304
5.726,-9,20,0.0572,0.0572
5.8259,-9,19,0,0
5.9959,-9,19,0,0
6.1358,-9,20,0,0
6.246,-9,19,0,0
6.3159,-9,19,0,0
6.5261,-9,20,0,0
6.646,-9,20,0,0
6.7558,-9,20,0,0
6.866,-9,20,0,0
6.9459,-9,20,0,0
7.0459,-9,20,0,0
7.1459,-9,19,0,0
7.2459,-9,20,0,0
7.3461,-9,19,0,0
7.4561,-9,20,0,0
7.5559,-9,20,0,0
7.6661,-9,19,0,0
7.7659,-9,20,0,0
7.866,-9,19,0,0
7.9959,-9,19,0,0
8.0857,-9,20,0,0
8.2057,-9,19,0,0
8.2958,-9,20,0,0
8.3958,-9,20,0,0
8.4958,-9,20,0,0
8.6157,-9,20,0,0
8.7257,-9,20,0,0
8.8457,-9,20,0,0
8.9555,-9,20,0,0
9.0555,-9,20,0,0
9.1456,-9,19,0,0
9.2455,-9,20,0,0
9.3754,-9,20,0,0
9.4455,-9,20,0,0
9.5255,-9,19,0,0
9.6254,-9,20,0,0
9.6954,-9,19,0,0
9.7954,-9,20,0,0
9.9254,-9,20,0,0
10.065,-9,20,0,0
10.185,-9,20,0,0
10.315,-9,20,0,0
10.415,-9,20,0,0
10.525,-9,20,0,0
10.645,-9,20,0,0
10.775,-9,20,0,0
10.875,-9,20,0,0
10.995,-9,20,0,0
11.075,-9,20,0,0
11.175,-9,20,0,0
11.265,-9,19,0,0
11.355,-9,20,0,0
11.465,-9,19,0,0
11.565,-9,20,0,0
11.675,-9,19,0,0
11.755,-9,20,0,0
11.845,-9,20,0,0
11.945,-9,20,0,0
12.045,-9,20,0,0
12.145,-9,20,0,0
12.255,-9,19,0,0
12.355,-9,20,0,0
12.425,-9,20,0,0
12.545,-9,20,0,0
12.635,-9,20,0,0
12.775,-9,19,0,0
12.905,-9,20,0,0
13.075,-9,20,0,0
13.255,-9,19,0,0
13.355,-9,19,0,0
13.435,-9,20,0,0
13.535,-9,19,0,0
13.645,-9,20,0,0
13.755,-9,19,0,0
13.875,-9,19,0,0
13.985,-9,19,0,0
14.055,-9,20,0,0
14.155,-9,19,0,0
14.265,-9,19,0,0
14.365,-9,19,0,0
14.445,-9,19,0,0
14.555,-9,20,0,0
14.655,-9,20,0,0
14.755,-9,19,0,0
14.845,-9,20,0,0
14.945,-9,20,0,0
15.035,-9,19,0,0
15.125,-9,20,0,0
15.225,-9,20,0,0
15.305,-9,20,0,0
15.405,-9,19,0,0
15.505,-9,19,0,0
15.605,-9,20,0,0
